architecture,depth,dataset,optimal_k,r_all,p_all,mean_accuracy,std_accuracy,n_models_passing,dataset_type
narrow_5,5,mnist_1_vs_7,500,-0.6400079075574664,1.0024246195671004e-41,0.9894428585256848,0.0014405938144525,70,mnist
narrow_5,5,mnist_6_vs_8,500,-0.6254559323056627,2.1474588829459414e-39,0.9880952426365444,0.0020997617429369,70,mnist
narrow_5,5,fmnist_sandals_vs_boots,500,-0.6307834941854812,1.4284363843163454e-38,0.984007145677294,0.0021687604369195,67,fmnist
narrow_5,5,fmnist_shirts_vs_coats,325,-0.0206602262740873,0.7260769108264551,0.9815357165677208,0.0051894977828884,58,fmnist
narrow_5,5,synthetic_a,6,0.0272475109092257,0.6114357845477241,1.0,0.0,70,synthetic
narrow_5,5,synthetic_b,50,-0.404315015901334,3.3861941631911876e-15,0.7033642845494407,0.0047793602511684,0,synthetic
narrow_5,5,synthetic_c,100,-0.6475270511602681,5.579955945079014e-43,0.9700785739081248,0.0014507066390272,0,synthetic
narrow_11,11,mnist_1_vs_7,500,-0.6966155507339807,7.261132170917401e-113,0.9903571375778744,0.001601657304103,70,mnist
narrow_11,11,mnist_6_vs_8,500,-0.6709479416713234,7.570336125578366e-102,0.9883614327226368,0.0017838992143559,70,mnist
narrow_11,11,fmnist_sandals_vs_boots,500,-0.492845760240028,1.0751636815554865e-45,0.983664290394102,0.0020971428066456,66,fmnist
narrow_11,11,fmnist_shirts_vs_coats,325,-0.2478467283138065,1.8068631263795012e-11,0.9842000007629396,0.002613697825911,65,fmnist
narrow_11,11,synthetic_a,100,-0.1364659504885874,0.0001456285609739,0.9999714272362844,0.0001160631148755,70,synthetic
narrow_11,11,synthetic_b,6,-0.4956419170440644,5.595187441415247e-49,0.7003928567681994,0.0067139991701872,0,synthetic
narrow_11,11,synthetic_c,100,-0.7544382751182808,1.4183900489689842e-142,0.9705357185431888,0.0015728074733251,0,synthetic
wide_5,5,mnist_1_vs_7,500,-0.5199445025630179,1.2425998109244623e-25,0.9894928549017225,0.0016068885007217,70,mnist
wide_5,5,mnist_6_vs_8,500,-0.584123695198999,2.1136746195196652e-33,0.9889603699956622,0.0018574314934813,70,mnist
wide_5,5,fmnist_sandals_vs_boots,500,-0.653945957554944,1.8044909165409644e-43,0.9848428606987,0.001819623329156,69,fmnist
wide_5,5,fmnist_shirts_vs_coats,325,0.12013432061762,0.0303681463158228,0.9842285743781498,0.0030783631370399,65,fmnist
wide_5,5,synthetic_a,7,-0.0384777463887123,0.4730388998750224,1.0,0.0,70,synthetic
wide_5,5,synthetic_b,100,-0.5319475316335605,5.828637390943273e-27,0.7020571453230722,0.0055616963338,0,synthetic
wide_5,5,synthetic_c,100,-0.7093396143909513,8.318380479252745e-55,0.9702357172966004,0.0012612972113201,0,synthetic
wide_11,11,mnist_1_vs_7,500,-0.7789526264865058,8.179809324527456e-158,0.990657137972968,0.0016202777542909,70,mnist
wide_11,11,mnist_6_vs_8,500,-0.7967701205743065,3.546586414363779e-170,0.9893670550414494,0.0013114360025362,70,mnist
wide_11,11,fmnist_sandals_vs_boots,500,-0.6346876615129637,8.172660651186257e-87,0.9850428581237792,0.0015962973293799,69,fmnist
wide_11,11,fmnist_shirts_vs_coats,500,-0.1917142102269561,1.939164138208615e-07,0.9852642859731402,0.0034400198587206,66,fmnist
wide_11,11,synthetic_a,6,-0.1665445614896253,3.377717673094473e-06,1.0,0.0,70,synthetic
wide_11,11,synthetic_b,7,-0.4880458946763971,2.501822410404597e-47,0.6974428568567549,0.0071466971573655,0,synthetic
wide_11,11,synthetic_c,100,-0.7887776886230253,1.7520523155512506e-164,0.9707285753318242,0.0015894469840725,0,synthetic
bottleneck_5,5,mnist_1_vs_7,500,-0.5198243419519551,1.2804655066521679e-25,0.9896571389266424,0.0018078037934084,70,mnist
bottleneck_5,5,mnist_6_vs_8,500,-0.4997579829341615,1.634791663378516e-23,0.9888864253248488,0.0016078239677086,70,mnist
bottleneck_5,5,fmnist_sandals_vs_boots,500,-0.7362316225076924,1.997785167303193e-58,0.9840500031198774,0.0023786997933584,67,fmnist
bottleneck_5,5,fmnist_shirts_vs_coats,500,-0.2078323036649303,0.000203497965194,0.9832000059740884,0.0033019467163029,63,fmnist
bottleneck_5,5,synthetic_a,6,-0.1650560301030939,0.0019473581942294,1.0,0.0,70,synthetic
bottleneck_5,5,synthetic_b,6,-0.4808493237899716,1.1878023509701521e-21,0.7023714244365692,0.0054652664271973,0,synthetic
